City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
286,Eugene,44.0521,-123.0867,52.74,89,100,10.0,US,overcast clouds
287,Wanning,18.8003,110.3967,70.7,96,9,10.58,CN,clear sky
288,Kysyl-Syr,63.8986,122.7617,-69.29,100,77,1.52,RU,broken clouds
289,Lata,40.1629,-8.3327,57.81,87,86,0.94,PT,overcast clouds
290,Alberton,46.8168,-64.0654,35.73,98,100,20.51,CA,light snow
291,Sayat,38.7839,63.8803,-0.53,73,5,3.96,TM,clear sky
292,Lebu,-37.6167,-73.65,61.81,68,14,16.75,CL,few clouds
293,Baoning,25.3378,110.026,62.46,94,75,0.0,CN,broken clouds
294,Sao Filipe,14.8961,-24.4956,74.32,66,2,7.31,CV,clear sky
295,Poddorye,57.4695,31.1156,33.3,89,100,13.82,RU,light snow
296,Fayetteville,35.0527,-78.8784,57.72,51,0,13.0,US,clear sky
297,Beloha,-25.1667,45.05,75.81,81,12,17.2,MG,few clouds
298,Verkhnyaya Inta,65.9811,60.3094,16.81,87,100,17.47,RU,overcast clouds
299,Plakhtiyivka,46.1006,29.7217,34.16,91,87,5.21,UA,overcast clouds
300,Tyazhinskiy,56.116,88.524,6.67,88,100,17.27,RU,overcast clouds
301,Touros,-5.1989,-35.4608,84.33,66,9,14.72,BR,clear sky
302,Requena,39.4883,-1.1004,50.79,59,70,3.4,ES,broken clouds
303,Manono,-7.3,27.4167,69.35,92,60,2.1,CD,broken clouds
304,Bhadrachalam,17.6667,80.8833,66.61,80,11,4.12,IN,few clouds
305,Farsund,58.0948,6.8047,42.06,100,100,16.91,NO,overcast clouds
306,Sur,22.5667,59.5289,66.11,51,11,18.05,OM,few clouds
307,Saint Anthony,45.0205,-93.218,20.25,88,100,4.61,US,overcast clouds
308,Huarmey,-10.0681,-78.1522,74.35,71,89,10.56,PE,overcast clouds
309,Pierre,44.3683,-100.351,26.98,89,28,9.73,US,scattered clouds
310,Mackenzie,55.2999,-123.1698,30.42,93,100,4.61,CA,snow
311,Tura,25.5198,90.2201,57.83,43,0,2.3,IN,clear sky
312,Franca,-20.5386,-47.4008,74.25,78,99,7.02,BR,overcast clouds
313,Mehkerek,46.7833,21.45,39.76,83,100,6.13,HU,overcast clouds
314,Tawang,27.5833,91.8667,30.88,87,66,1.45,IN,broken clouds
315,Kedgwick,47.6446,-67.3434,25.21,96,100,12.86,CA,snow
316,Ramos Arizpe,25.55,-100.9667,63.82,45,0,0.0,MX,clear sky
317,Fairbanks,64.8378,-147.7164,4.6,84,100,0.4,US,overcast clouds
318,Kenora,49.8167,-94.4337,9.57,92,100,11.5,CA,overcast clouds
319,Contamana,-7.3333,-75.0167,97.48,32,90,7.45,PE,overcast clouds
320,Brigantine,39.4101,-74.3646,53.1,84,100,1.99,US,overcast clouds
321,San Patricio,28.017,-97.5169,62.19,30,0,10.07,US,clear sky
322,Baykit,61.67,96.37,-19.91,99,100,1.41,RU,overcast clouds
323,Yoichi,43.2039,140.7703,41.07,82,68,7.47,JP,broken clouds
324,Boyolangu,-8.1181,111.8935,74.71,85,75,2.26,ID,broken clouds
325,Toppenish,46.3774,-120.3087,42.87,92,100,1.05,US,overcast clouds
326,Malacatepec,18.9333,-98.3,64.83,32,5,4.76,MX,clear sky
327,Fort Nelson,58.8053,-122.7002,8.19,85,100,2.3,CA,light snow
328,Turukhansk,65.8167,87.9833,-35.95,89,30,8.14,RU,scattered clouds
329,Porto Velho,-8.7619,-63.9039,75.25,94,75,1.14,BR,moderate rain
330,Tautira,-17.7333,-149.15,79.86,80,100,22.57,PF,light rain
331,Chengde,40.9725,117.9361,19.98,45,100,8.95,CN,overcast clouds
332,Clyde,41.3042,-82.9752,31.17,81,100,17.13,US,overcast clouds
333,Concarneau,47.875,-3.9225,52.09,89,100,9.73,FR,overcast clouds
334,Mbandaka,0.0487,18.2603,77.99,59,44,3.33,CD,scattered clouds
335,Meulaboh,4.1363,96.1285,76.06,88,98,2.08,ID,overcast clouds
336,Yumen,40.2833,97.2,7.29,38,99,0.78,CN,overcast clouds
337,Galveston,29.3669,-94.9669,60.04,42,22,8.01,US,few clouds
338,Yerbogachen,61.2767,108.0108,-29.74,99,100,1.25,RU,overcast clouds
339,Junin,-34.5838,-60.9433,88.9,22,1,11.56,AR,clear sky
340,Pathein,16.7833,94.7333,65.98,72,1,6.22,MM,clear sky
341,Aranos,-24.1333,19.1167,87.44,11,51,13.06,NA,broken clouds
342,Guerrero Negro,27.9769,-114.0611,69.93,34,22,0.81,MX,few clouds
343,Paita,-5.0892,-81.1144,75.61,65,89,11.83,PE,overcast clouds
344,Plettenberg Bay,-34.0527,23.3716,68.58,76,51,2.42,ZA,broken clouds
345,Lufilufi,-13.8745,-171.5986,76.78,69,48,12.48,WS,scattered clouds
