City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,Harper,4.375,-7.7169,80.17,78,43,7.58,LR,2023-01-12 19:43:46
81,Rawah,34.4816,41.9093,46.69,51,0,5.3,IQ,2023-01-12 19:43:47
82,Pevek,69.7008,170.3133,-27.22,98,19,5.01,RU,2023-01-12 19:43:47
83,Alyangula,-13.8483,136.4192,79.36,82,100,20.58,AU,2023-01-12 19:43:47
84,Bolshaya Martynovka,47.271,41.6679,30.24,82,100,18.88,RU,2023-01-12 19:43:48
85,Yulara,-25.2406,130.9889,80.42,37,6,6.58,AU,2023-01-12 19:43:48
86,Qaanaaq,77.484,-69.3632,-2.76,98,100,3.09,GL,2023-01-12 19:43:48
87,Cidreira,-30.1811,-50.2056,79.84,68,17,10.42,BR,2023-01-12 19:43:48
88,Hermanus,-34.4187,19.2345,69.8,74,0,15.17,ZA,2023-01-12 19:43:49
89,Erzin,36.9559,36.2,45.68,41,100,8.23,TR,2023-01-12 19:43:49
90,Port Hardy,50.6996,-127.4199,46.58,93,100,18.41,CA,2023-01-12 19:43:49
91,Geraldton,-28.7667,114.6,68.41,83,11,10.36,AU,2023-01-12 19:43:49
92,Biloela,-24.4167,150.5,69.96,87,100,6.42,AU,2023-01-12 19:44:50
93,Ribeira Grande,38.5167,-28.7,63.0,94,40,11.5,PT,2023-01-12 19:44:50
94,Pokhara,28.2333,83.9833,51.91,29,5,6.11,NP,2023-01-12 19:44:50
95,Zhaotong,27.3167,103.7167,41.38,58,0,3.8,CN,2023-01-12 19:44:50
96,Salalah,17.0151,54.0924,78.89,44,0,12.66,OM,2023-01-12 19:44:51
97,Hamilton,39.1834,-84.5333,51.35,94,100,10.0,US,2023-01-12 19:40:35
98,Brownwood,31.7093,-98.9912,60.12,31,0,18.41,US,2023-01-12 19:44:51
99,Provideniya,64.3833,-173.3,10.51,79,100,4.47,RU,2023-01-12 19:44:51
100,Cabedelo,-6.9811,-34.8339,84.87,70,64,12.21,BR,2023-01-12 19:44:52
101,Castro,-24.7911,-50.0119,70.48,87,100,4.09,BR,2023-01-12 19:44:52
102,Bethel,41.3712,-73.414,44.02,87,100,5.75,US,2023-01-12 19:44:52
103,Alta Floresta,-9.8756,-56.0861,82.62,80,76,1.3,BR,2023-01-12 19:44:52
104,Ippy,6.2679,21.2247,79.83,20,100,4.34,CF,2023-01-12 19:44:53
105,Daru,-9.0763,143.2092,76.44,91,98,6.55,PG,2023-01-12 19:44:53
106,Pedasi,7.5333,-80.0333,80.08,76,100,11.43,PA,2023-01-12 19:44:53
107,Victoria,22.2855,114.1577,71.65,93,100,11.99,HK,2023-01-12 19:44:54
108,Iqaluit,63.7506,-68.5145,-11.31,83,100,2.3,CA,2023-01-12 19:44:54
109,Port Alfred,-33.5906,26.891,75.18,90,92,12.5,ZA,2023-01-12 19:44:54
110,Viedma,-40.8135,-62.9967,66.67,43,97,22.88,AR,2023-01-12 19:44:54
111,Longyearbyen,78.2186,15.6401,28.24,74,75,23.02,SJ,2023-01-12 19:44:55
112,Gasa,31.5,34.4667,50.88,57,5,9.33,PS,2023-01-12 19:44:55
113,East London,-33.0153,27.9116,77.74,71,3,13.98,ZA,2023-01-12 19:44:55
114,Chokurdakh,70.6333,147.9167,-32.1,98,100,6.93,RU,2023-01-12 19:44:55
115,Souillac,-20.5167,57.5167,77.38,83,75,3.44,MU,2023-01-12 19:44:56
116,Sabaudia,41.3003,13.0282,50.45,65,40,4.97,IT,2023-01-12 19:44:56
117,Pizarro,4.9533,-77.366,80.53,76,100,7.25,CO,2023-01-12 19:44:56
118,Kavieng,-2.5744,150.7967,80.94,75,95,5.59,PG,2023-01-12 19:44:57
119,Varhaug,58.6147,5.6457,41.9,86,67,14.9,NO,2023-01-12 19:44:57
120,Sao Joao Da Barra,-21.6403,-41.0511,77.09,91,100,16.28,BR,2023-01-12 19:44:57
121,Casablanca,33.5928,-7.6192,61.14,77,40,6.91,MA,2023-01-12 19:42:53
122,Klaksvik,62.2266,-6.589,38.32,72,100,25.37,FO,2023-01-12 19:44:57
123,Sidi Ali,36.0998,0.4206,55.09,86,47,1.86,DZ,2023-01-12 19:44:58
124,Tuatapere,-46.1333,167.6833,54.25,74,19,1.45,NZ,2023-01-12 19:44:58
125,Chuy,-33.6971,-53.4616,76.62,61,3,16.13,UY,2023-01-12 19:44:58
126,Bredasdorp,-34.5322,20.0403,68.68,62,0,15.93,ZA,2023-01-12 19:44:58
127,Forbes,-33.3833,148.0167,71.92,61,97,3.89,AU,2023-01-12 19:44:59
128,Sitka,57.0531,-135.33,42.69,75,75,6.91,US,2023-01-12 19:44:59
129,Northam,51.0333,-4.2167,46.26,92,87,29.59,GB,2023-01-12 19:44:59
130,Coruripe,-10.1256,-36.1756,81.14,66,10,13.82,BR,2023-01-12 19:45:00
131,Xichang,27.8964,102.2634,42.08,71,0,0.92,CN,2023-01-12 19:45:00
132,Vaitape,-16.5167,-151.75,81.75,73,79,26.24,PF,2023-01-12 19:45:00
133,Tautira,-17.7333,-149.15,79.38,80,100,21.16,PF,2023-01-12 19:45:00
134,Tasiilaq,65.6145,-37.6368,6.96,60,100,6.06,GL,2023-01-12 19:45:01
135,Thompson,55.7435,-97.8558,15.96,86,100,4.61,CA,2023-01-12 19:45:01
136,Avera,33.194,-82.5271,71.11,61,96,19.08,US,2023-01-12 19:45:02
137,Karratha,-20.7377,116.8463,90.57,23,66,15.46,AU,2023-01-12 19:46:03
